OBJECTID,Bus Stop ID,Stop Number,LTAR,Location,Accessible,Bus PadID,FDMID,Feature Code,Source Date,Source Accuracy,Add Date,Modified Date,Bus Stop Status,Source Date,Plowed by HRM,Winter Maintenance Zone,Winter Maintenance Route,Winter Maintenance Level of Service,Winter Treatment Material,Winter Maintenance Comments,GLOBALID,Winter Maintenance Add Date,Winter Maintenance Modified Date,Date Last Inspected,x,y
300,BS2224,8465,Y,Waverley Rd Before Montebello Dr (8465),A,CPD2212,200001632,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ1,,PRI2,,,5994fdee-42f2-4914-b6a2-67054ba47b46,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7074084.5829,5574139.6538
301,BS96,7283,Y,Mumford Rd Opposite St Agnes School (7283),A,CPD498,700005136,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,SWZ6,RA,PRI2,,,b79d286b-3913-40eb-9ef3-6661a6acb698,2/22/2017 12:00:00 AM,10/25/2019 12:00:00 AM,,-7081971.4587,5566100.1618
302,BS840,6980,Y,Joseph Howe Dr After Abbott Dr (6980),A,CPD178,300003433,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,SWZ6,RA,PRI2,,SHELTER,c161b2f1-5c11-4ca7-9f0b-76847fe4845f,2/22/2017 12:00:00 AM,10/24/2019 12:00:00 AM,,-7083315.9514,5566822.4372
303,BS839,6979,Y,Joseph Howe Dr Before Abbott Dr (6979),A,CPD1254,300002996,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,SWZ6,RA,PRI2,,,d4aeec3c-a066-4c99-b2f7-3d884f087ae9,2/22/2017 12:00:00 AM,10/24/2019 12:00:00 AM,,-7083336.0666,5566837.9752
304,BS2716,6842,Y,Countryview Dr Before Ferindonald Cl (6842),A,CPD2620,700004372,TRBSAC,TRANSIT,XY,2/17/2017 12:00:00 AM,7/11/2023 11:33:03 AM,INS,2/20/2017 12:00:00 AM,Y,HRM2,R4,PRI2,,,1b9f0fae-e02b-448b-b2cb-04eb66158a73,2/22/2017 12:00:00 AM,9/4/2019 12:00:00 AM,,-7075941.1886,5575198.6287
306,BS725,6022,Y,Albro Lake Rd Before Richmond St (6022),A,CPD1048,200000424,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,HRM2,R2,PRI2,,,8d174871-5cbc-4076-b15b-849cb5c1003c,2/22/2017 12:00:00 AM,9/4/2019 12:00:00 AM,,-7078382.3961,5570944.533
307,BS4513,2370,Y,Larry Uteck After Abbington Ave (2370),N,,,TRBSAC,,XY,2/23/2026 3:42:27 PM,2/23/2026 3:52:17 PM,INS,,Y,,,,,,a8f8fc83-ae8f-4704-b069-c4c8778d7278,,,,-7091990.302,5575599.2268
308,BS434,6345,Y,Caldwell Rd Before Nova Terr (6345),A,CPD777,200001306,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,,Y,WSZ1,,PRI2,,,13967ef3-79b1-40aa-941e-b80b22c79320,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,1/1/2022 12:00:00 AM,-7067676.6163,5567759.3643
309,BS1548,7425,Y,Parkland Dr Opposite Carlina Ct (7425),A,CPD1720,700001611,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,SWZ7,,PRI2,,,d6591b1f-79ba-43e0-85e4-42f0b01c165c,12/2/2016 12:00:00 AM,,,-7088390.6396,5570377.8877
312,BS822,6945,Y,Main St Before Westphal Way (6945),N,CPD1240,200003178,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ1,,PRI2,,,14008233-a33e-4187-bd17-a3731404fd39,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7066336.8315,5574663.7042
313,BS592,7179,Y,Maplewood Dr After Eisener St (7179),N,CPD985,300003128,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ4,,PRI2,,STAND ALONE,8c7bf240-7bf6-49d4-9119-dfd2a6a9918e,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7095426.7265,5567369.1125
314,BS640,8123,Y,Purcells Cove Rd Opposite Devils Hill Rd (8123),I,CPD1091,300002836,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ4,,PRI2,,STAND ALONE,072585a1-e1b5-4d1f-a48f-d16f84c1e869,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7075642.537,5558994.5167
315,BS2297,7486,Y,Main Rd Before Bonaventure St (7486),N,CPD402,200003047,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,,Y,WSZ1,,PRI2,,SHELTER - STAND ALONE,392e2243-fce2-4697-a345-4cf72d98742b,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,1/1/2014 12:00:00 AM,-7070436.2774,5562912.764
316,BS1238,8697,N,Barnes Dr After Red Wing Dr (8697),N,CPD1595,100001849,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,N,NA,,,,,f4f1a3fb-86bc-457e-ad24-ee905dca2c61,10/10/2019 12:00:00 AM,,,-7071205.9751,5602535.5038
317,BS1543,7063,Y,Lacewood Dr After Vimy Ave (7063),A,CPD1715,300000563,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,SWZ7,,PRI2,,,9034dffc-4731-41c3-bfd0-98c99f8c6643,2/22/2017 12:00:00 AM,,,-7083988.744,5568366.3018
318,BS2672,8171,Y,Micmac Terminal Bay 1 (8171),A,CPD445,700010384,TRBSTMAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,11/30/2016 12:00:00 AM,Y,BLDG,,,,BUS TERMINAL,144bbde8-c804-46ce-9752-d1e56e414b98,2/22/2017 12:00:00 AM,11/16/2020 12:00:00 AM,1/1/2014 12:00:00 AM,-7075557.5314,5572122.7283
319,BS785,6201,Y,Bayers Rd Before Connolly St (6201),A,CPD956,300000991,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,SWZ6,RA,PRI2,,,1a514289-322c-4841-b060-5ba5c8e232c5,2/22/2017 12:00:00 AM,10/24/2019 12:00:00 AM,,-7081299.4704,5567173.2271
320,BS535,6360,Y,Caledonia Rd Before Westwood Dr (6360),A,CPD861,200001655,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ1,,PRI2,,,8189b3bc-1db0-4201-80e5-0ece7b1a6356,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7072268.963,5572683.2474
321,BS4451,2366,Y,Commodore Dr Before John Savage Ave (2366),A,CPD3188,,TRBSAC,Transit,XY,8/26/2025 2:27:30 PM,8/26/2025 2:28:47 PM,INS,,Y,,,,,,ff5610b1-3651-4e24-955d-53221ab43887,,,,-7077169.8395,5574773.4724
322,BS2199,8119,Y,Purcells Cove Rd After Williams Lake Rd (8119),N,CPD364,300002413,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,,Y,WSZ4,,PRI2,,SHELTER,c691703e-56d9-4bc5-8f1d-b91e505e9be5,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,1/1/2014 12:00:00 AM,-7080151.136,5562517.3332
324,BS145,7364,Y,Novalea Dr Before Livingstone Pl (7364),A,CPD643,700003978,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,SWZ6,RB,PRI2,,,889ded34-08cc-4839-a04d-80edb7af612e,2/22/2017 12:00:00 AM,10/25/2019 12:00:00 AM,,-7080040.1902,5568789.5475
325,BS2011,6076,Y,Auburn Dr At Civic 200 (6076),A,CPD2089,200001930,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,1/18/2017 12:00:00 AM,Y,WSZ1,,PRI2,,,1199050a-332f-422f-b758-e2eb73bfebfd,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7067061.1813,5573016.6904
326,BS846,6005,Y,Akerley Blvd After Windmill Rd (6005),A,CPD1259,700004316,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,HRM2,R3,PRI2,,,35aad9aa-6b3c-4834-b2aa-dbf6fd1ca9f9,2/22/2017 12:00:00 AM,9/4/2019 12:00:00 AM,,-7081168.3021,5575062.2214
327,BS3280,2105,Y,Brownlow Ave Before MacLean Ave (2105),A,CPD2932,200002511,TRBSAC,TRANSIT,DV,10/7/2019 12:00:00 AM,7/11/2023 2:30:44 PM,INS,8/23/2019 12:00:00 AM,Y,HRM2,R4,PRI2,,,72085558-f129-4a6e-ac8c-3855967855d1,10/10/2019 12:00:00 AM,10/28/2019 12:00:00 AM,1/1/2019 12:00:00 AM,-7077590.4344,5573776.5809
328,BS919,6925,Y,Highfield Park Dr At Civic 10 (6925),N,CPD159,700004087,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,10/1/2025 4:21:32 PM,INS,,Y,E1,ORR,PRI2,,SHELTER - STAND ALONE,dda0118b-b208-4ca7-b995-27fcedb3ede4,2/22/2017 12:00:00 AM,1/29/2020 12:00:00 AM,1/1/2014 12:00:00 AM,-7078138.3541,5573034.1628
330,BS2662,6107,Y,Barrington St Before Duke St  Bay 5 (6107),A,CPD359,300001319,TRBSTMAC,TRANSIT,XY,7/29/2016 12:00:00 AM,2/20/2025 1:32:05 PM,INS,,Y,HRM1,R1,PRI2,,SHELTER,894a494b-5b68-480a-9716-095208e74a4b,2/22/2017 12:00:00 AM,,,-7077176.0115,5566523.7335
331,BS1554,7431,Y,Parkland Dr Before Carrington Pl (7431),A,CPD253,700001632,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,SWZ7,,PRI2,,SHELTER,a2287a58-5892-4059-8b13-9d75c05b063b,12/2/2016 12:00:00 AM,,,-7088256.6072,5569250.8774
332,BS3204,2061,Y,Crossfield Rg After Melham Dr (2061),N,CPD2801,700009972,TRBSAC,TRANSIT,DV,10/7/2019 12:00:00 AM,7/11/2023 2:30:44 PM,INS,8/23/2019 12:00:00 AM,Y,WSZ2,,PRI2,,STAND ALONE,1003d2ad-cc90-4b2b-ada7-427b493df3a9,10/10/2019 12:00:00 AM,10/28/2019 12:00:00 AM,1/1/2019 12:00:00 AM,-7092706.4184,5587799.0741
334,BS3150,2144,Y,Starboard Dr Before Friesian Ct (2144),A,CPD2863,700009887,TRBSAC,TRANSIT,DV,10/7/2019 12:00:00 AM,7/11/2023 2:30:44 PM,INS,8/23/2019 12:00:00 AM,Y,WSZ3,,PRI2,,,0329f116-a41a-4b2b-bc54-c51eb63b2d23,10/10/2019 12:00:00 AM,10/28/2019 12:00:00 AM,1/1/2019 12:00:00 AM,-7088996.4349,5573792.3586
336,BS1270,8526,Y,Windmill Rd Before Nivens Ave (8526),A,CPD1609,200001878,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,HRM2,R2,PRI2,,,e2bb430b-ad82-4278-b6db-3b3597a44a19,2/22/2017 12:00:00 AM,9/4/2019 12:00:00 AM,,-7078909.1704,5570727.7489
337,BS1575,6467,Y,Colby Dr Before Autumn Pl (6467),A,CPD1742,200000132,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ1,,PRI2,,,3ff731e6-2388-41c0-8b8c-b2c03a393331,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7067176.4426,5569175.4596
338,BS2389,6261,Y,Bedford Hwy Before Meadowbrook Dr (6261),A,CPD2368,100001131,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ3,,PRI2,,,31d876c0-21a2-498e-af5f-5e0cb2a8fdeb,2/22/2017 12:00:00 AM,10/1/2019 12:00:00 AM,,-7087539.5154,5578357.1826
339,BS1875,8046,Y,Portland St After Portland Estates Blvd (8046),A,CPD2025,700004470,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,1/18/2017 12:00:00 AM,Y,WSZ1,,PRI2,,,af1e8661-e453-4cf1-8061-3cc2629e485a,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7070736.0095,5569956.5752
340,BS192,6700,Y,Flamingo Dr Before Bedford Hwy (6700),A,CPD741,300003581,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,SWZ7,,PRI2,,,a24a59b6-2053-4556-8748-064e081e68ed,2/22/2017 12:00:00 AM,,,-7085308.8115,5570516.2412
341,BS198,6706,Y,Flamingo Dr After Meadowlark Cr (6706),A,CPD747,300000238,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,2/6/2026 1:47:48 PM,INS,,Y,SWZ7,,PRI2,,STAND ALONE,48251ece-4d48-4f1c-9c5d-3b93233827b8,2/22/2017 12:00:00 AM,1/28/2020 12:00:00 AM,,-7086147.9597,5569633.4483
342,BS1710,8075,Y,Princess Margaret Blvd After Windmill Rd (8075),A,CPD1805,200000253,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,6/5/2025 11:14:37 AM,INS,,Y,E1,ORR,PRI2,,STAND ALONE,10ee2c34-7b3d-49fd-965e-459aa7289844,2/22/2017 12:00:00 AM,2/20/2020 12:00:00 AM,,-7079863.8958,5572278.0653
343,BS1133,8343,Y,Springvale Ave Before Winter St (8343),N,CPD1367,300003334,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ4,,PRI2,,STAND ALONE,02371e10-006b-48d5-ace5-e6fddd5924ce,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7084069.9841,5565768.378
344,BS325,7344,Y,North St Before Dublin St (7344),A,CPD604,300001252,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,SWZ6,RA,PRI2,,,aca0df43-9301-4927-9dc7-aad4b13fc0a0,2/22/2017 12:00:00 AM,10/25/2019 12:00:00 AM,,-7079998.3635,5566688.4798
345,BS88,7274,Y,Mumford Rd Before Leppert St (7274),A,CPD1,700005131,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,,Y,SWZ6,RA,PRI2,,SHELTER,bc6c6b04-d35a-4f5b-816d-3c12fa60be14,2/22/2017 12:00:00 AM,10/25/2019 12:00:00 AM,1/1/2017 12:00:00 AM,-7081785.1523,5566005.637
346,BS952,8159,Y,Radcliffe Dr Before Barkton Ln (8159),A,CPD1180,300002751,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,SWZ7,,PRI2,,,e8dc899b-e684-4ab0-b59d-b4d745657f3c,2/22/2017 12:00:00 AM,,,-7086733.1606,5569064.4018
347,BS2775,9009,Y,Cole Harbour Rd Before Perron Dr (9009),A,CPD2536,200001882,TRBSAC,TRANSIT,XY,4/27/2018 12:00:00 AM,7/11/2023 11:33:03 AM,INS,4/27/2018 12:00:00 AM,Y,WSZ1,,PRI2,,,ed7e29c8-8c2e-4b0b-bbaa-ab56799d99df,10/10/2019 12:00:00 AM,6/1/2022 12:00:00 AM,,-7066695.0557,5570147.4096
348,BS1592,7158,Y,Main Ave After Willett St (7158),N,CPD1758,300003362,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,10/1/2024 11:35:43 AM,INS,,Y,W3,BLR,PRI2,,STAND ALONE,66444add-59c8-4ccb-be33-b6e95757cb48,2/22/2017 12:00:00 AM,1/28/2020 12:00:00 AM,,-7085007.5583,5567288.2873
349,BS3278,2122,Y,Mumford Rd Opposite Mumford Terminal Bay 4 (2122),A,CPD2930,700010421,TRBSAC,TRANSIT,DV,10/7/2019 12:00:00 AM,7/11/2023 2:30:44 PM,INS,8/23/2019 12:00:00 AM,Y,BLDG,,,,,66d88491-f658-41c4-9f6d-4f334f5f3ef9,10/10/2019 12:00:00 AM,9/3/2020 12:00:00 AM,1/1/2019 12:00:00 AM,-7082153.9794,5566271.4642
350,BS1376,8879,Y,Larry Uteck Blvd Before Southgate Dr (8879),A,CPD1545,700006890,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ3,,PRI2,,,8587ef6a-d8d1-4df7-99ab-1877a9b717d0,2/22/2017 12:00:00 AM,10/1/2019 12:00:00 AM,,-7088738.003,5574542.5774
351,BS354,9082,Y,Regency Park Dr Before Greenpark Cl (9082),A,CPD629,300003635,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,SWZ7,,PRI2,,,c366f209-3dfc-4e8b-8e78-b871a86ccb91,12/2/2016 12:00:00 AM,,,-7087227.2943,5567381.3816
352,BS2474,6880,Y,Herring Cove Rd After Arbutus Ave (6880),N,CPD2319,300002799,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ4,,PRI2,,STAND ALONE,d79d9c86-acf0-4531-a8da-59ae0464ac97,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7078159.8756,5555988.8425
353,BS464,6165,Y,St Margarets Bay Rd Before Power Terr (6165),A,CPD801,300002719,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ4,,PRI2,,,31d08347-918b-49f4-9e69-3db574d2d593,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7091453.9699,5564706.6267
354,BS3205,2062,Y,Crossfield Rg Before Sackville Dr (2062),N,CPD2799,700009972,TRBSAC,TRANSIT,DV,10/7/2019 12:00:00 AM,7/11/2023 2:30:44 PM,INS,8/23/2019 12:00:00 AM,Y,WSZ2,,PRI2,,STAND ALONE,2366e2a6-b6ed-4ec0-a4d5-5d52b3e2801e,10/10/2019 12:00:00 AM,10/28/2019 12:00:00 AM,1/1/2019 12:00:00 AM,-7092599.8045,5588059.4078
355,BS1936,8051,Y,Portland St After Pleasant St (8051),A,CPD2027,200000760,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,1/23/2017 12:00:00 AM,Y,SWZ8,,PRI2,,,b59c9fdf-e743-44c0-b596-8b0fa1eb85f1,2/22/2017 12:00:00 AM,,,-7075415.7197,5569505.9641
356,BS1477,6045,Y,Arklow Dr After Dalkeith Dr (6045),A,CPD1776,200001675,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,1/18/2017 12:00:00 AM,Y,WSZ1,,PRI2,,,c8704a90-f144-4077-b13a-b434b5252956,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7067370.8559,5571016.1645
357,BS2311,6488,Y,Commodore Dr After Brownlow Ave (6488),A,CPD2422,700004102,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,HRM2,R4,PRI2,,,31454ead-523f-4e21-a2ff-4e69bbf0bf1c,2/22/2017 12:00:00 AM,9/4/2019 12:00:00 AM,,-7077895.0466,5574410.2097
359,BS2733,6027,Y,Larry Uteck Blvd Before Amesbury Gt (6027),A,CPD2564,700009784,TRBSAC,TRANSIT,XY,6/28/2017 12:00:00 AM,7/11/2023 2:30:44 PM,INS,8/1/2017 12:00:00 AM,Y,WSZ3,,PRI2,,STAND ALONE,474ef3ce-1a91-4071-b161-8b3fa7bc23cb,9/21/2018 12:00:00 AM,10/1/2019 12:00:00 AM,1/1/2022 12:00:00 AM,-7091369.4604,5574813.9399
360,BS2403,7443,Y,Peddars Way After Bow St (7443),A,CPD2381,200000121,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,12/29/2016 12:00:00 AM,Y,E2,ORR,PRI2,,STAND ALONE,f92194a9-1199-49dc-b4cc-63d9c0fb351b,2/22/2017 12:00:00 AM,2/20/2020 12:00:00 AM,,-7073765.3748,5570036.3006
361,BS1436,8563,Y,Windsor St Before Lady Hammond Rd (8563),A,CPD1669,700004961,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,SWZ6,RB,PRI2,,,da0dc846-489d-4f43-8221-b2495e67ce91,2/22/2017 12:00:00 AM,10/28/2019 12:00:00 AM,,-7082343.7141,5568453.7245
362,BS2645,8959,Y,Sackville Terminal Bay 3 (8959),A,CPD120,700010416,TRBSTMAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,,Y,BLDG,,,,BUS TERMINAL,f9313c5c-1825-484e-9409-20b7de921ad3,10/10/2019 12:00:00 AM,11/16/2020 12:00:00 AM,1/1/2014 12:00:00 AM,-7090907.9061,5585066.8095
363,BS2124,8484,Y,Weyburn Rd Before Athabaskan Ln (8484),N,CPD2293,200000914,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ1,,PRI2,,STAND ALONE,1066bd59-dc68-4350-803c-d21c18b4875b,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7072319.29,5571629.5942
364,BS2252,6855,Y,Herring Cove Rd Before Princeton Ave (6855),I,CPD2240,300002678,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ4,,PRI2,,STAND ALONE,0bd725a4-42ee-4d67-aa55-27cc7e79beae,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7079605.3959,5557617.8392
365,BS1994,7377,Y,Novalea Dr Opposite Livingstone Pl (7377),A,CPD2074,300003273,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,SWZ6,RB,PRI2,,,f64288d1-4627-416a-b3b3-2bc4b6685dbe,2/22/2017 12:00:00 AM,10/25/2019 12:00:00 AM,,-7079975.0065,5568745.7024
366,BS2294,7483,Y,Main Rd After Monster Ln (7483),N,CPD2347,200001755,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ1,,PRI2,,STAND ALONE,b2e47e0d-8bf9-46be-bcdb-f0652de4cd99,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7069320.7677,5561919.4669
367,BS699,8367,Y,Susie Lake Cr After Chain Lake Dr (8367),N,CPD1027,700005394,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,12/7/2019 12:00:00 AM,Y,WSZ4,,PRI2,,<Null>,1b957b5a-b012-4a6a-a086-34521cb6647d,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7088205.2052,5565972.5177
368,BS2216,8457,Y,Waverley Rd Before Montague Rd (8457),A,CPD2204,200003055,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ1,,PRI2,,,5164b120-1525-4dea-b7ea-bb490f4acaf4,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7073423.4036,5578524.4319
370,BS817,7112,Y,Lake Major Rd Before Crane Hill Rd (7112),N,CPD1235,700010523,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,,Y,WSZ1,,PRI2,,STAND ALONE,f342129d-1cf9-4305-b5c9-2276eadd616c,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,1/1/2015 12:00:00 AM,-7065150.0394,5575289.7444
371,BS497,6724,Y,Gaston Rd After Regency Dr (6724),A,CPD831,200002201,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,SWZ8,,PRI2,,,eabaa53c-4457-42ef-b3e2-1542676fd8b7,2/22/2017 12:00:00 AM,9/26/2019 12:00:00 AM,,-7073480.2623,5569159.3442
372,BS3262,2167,Y,Alabaster Way At Civic 391 (2167),A,CPD2914,700010568,TRBSAC,TRANSIT,DV,10/7/2019 12:00:00 AM,7/11/2023 2:30:44 PM,INS,8/23/2019 12:00:00 AM,Y,WSZ4,,PRI2,,,fe2c9329-7aaa-4209-b6b8-886e8e8ba6c6,10/10/2019 12:00:00 AM,6/1/2022 12:00:00 AM,1/1/2019 12:00:00 AM,-7079961.3837,5559286.1466
373,BS1039,6622,Y,Bluewater Rd Before Hammonds Plains Rd (6622),N,CPD1410,100001558,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ3,,PRI2,,STAND ALONE,bd72f8bb-27ac-4fd4-877f-7230b7023a63,2/22/2017 12:00:00 AM,10/1/2019 12:00:00 AM,,-7091880.9568,5578576.5807
375,BS334,7353,Y,North St Before Clifton St (7353),A,CPD610,300000961,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,SWZ6,RB,PRI2,,,34166f7c-9eef-42b3-b937-b9ca2d4f7b22,2/22/2017 12:00:00 AM,10/25/2019 12:00:00 AM,,-7079487.8104,5567189.5151
376,BS626,6962,Y,Inglis St After Robie St (6962),A,CPD142,300002245,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,,Y,SWZ5,,PRI2,,SHELTER,d2ac1f8a-b997-40f4-b056-9eb466f34ad3,2/22/2017 12:00:00 AM,,1/1/2014 12:00:00 AM,-7077997.2945,5563885.0329
377,BS3444,2261,Y,Lucien Dr Before Whynette Pl (2261),A,CPD3024,200001490,TRBSAC,TRANSIT,XY,10/21/2021 3:12:49 PM,7/11/2023 11:33:03 AM,INS,10/19/2021 12:00:00 AM,Y,WSZ1,,PRI2,,"Stops Surface is Concrete Pad, Sidewalk or Asphalt",49f55614-2402-49ef-adba-65c69d1e6abe,11/22/2021 12:00:00 AM,6/1/2022 12:00:00 AM,,-7069771.5385,5571443.3831
379,BS1033,8441,Y,Waverley Rd Before Montebello Dr (8441),A,CPD217,200001861,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,12/30/2016 12:00:00 AM,Y,WSZ1,,PRI2,,SHELTER,a9c4c8c8-7eb0-4b09-ac72-7aca191f5862,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,1/1/2014 12:00:00 AM,-7074095.0758,5574211.6271
380,BS2209,8450,Y,Waverley Rd After Boutiliers Ln (8450),A,CPD2197,200001631,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,12/30/2016 12:00:00 AM,Y,WSZ1,,PRI2,,,dc35ef12-2a91-4c74-b6af-76fddb32257f,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7074072.1263,5573723.4932
