OBJECTID,Bus Stop ID,Stop Number,LTAR,Location,Accessible,Bus PadID,FDMID,Feature Code,Source Date,Source Accuracy,Add Date,Modified Date,Bus Stop Status,Source Date,Plowed by HRM,Winter Maintenance Zone,Winter Maintenance Route,Winter Maintenance Level of Service,Winter Treatment Material,Winter Maintenance Comments,GLOBALID,Winter Maintenance Add Date,Winter Maintenance Modified Date,Date Last Inspected,x,y
19,BS1406,8612,Y,Wyse Rd After Boland Rd (8612),A,CPD1575,200000381,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,HRM2,R2,PRI2,,,549e0c5b-9e62-4879-a3d5-61222367dd2e,2/22/2017 12:00:00 AM,9/4/2019 12:00:00 AM,,-7077904.6007,5570103.8482
21,BS1731,7081,Y,Lacewood Dr After Parkland Dr (7081),A,CPD275,700005295,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,,Y,SWZ7,,PRI2,,SHELTER,56782cd0-a329-44c3-9e16-d1d61938ea7e,2/22/2017 12:00:00 AM,,1/1/2015 12:00:00 AM,-7087570.8241,5567983.3941
22,BS586,7173,Y,Main St After Gordon Ave (7173),A,CPD980,700004604,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ1,,PRI2,,,1e3c160b-ee8d-4590-ad50-b93c3ec09257,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7073271.554,5571557.1122
23,BS1635,8549,Y,Windsor St After Maxwell St (8549),A,CPD247,300000610,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,,Y,SWZ6,RB,PRI2,,SHELTER,200c542a-2e51-40c9-a5dd-7efb1cb75a55,2/22/2017 12:00:00 AM,10/28/2019 12:00:00 AM,1/1/2016 12:00:00 AM,-7081330.0629,5568176.2605
24,BS774,6239,Y,Bedford Hwy Before Larry Uteck Blvd (6239),N,CPD951,300003591,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ3,,PRI2,,STAND ALONE,fc242571-8ca8-4de4-9d79-7141806c7d27,2/22/2017 12:00:00 AM,10/1/2019 12:00:00 AM,,-7086706.4001,5574130.5464
25,BS3472,2220,Y,Caldwell Rd Before Deyoung Dr (2220),A,CPD3007,700009823,TRBSAC,TRANSIT,XY,10/21/2021 3:12:49 PM,1/5/2026 7:45:57 PM,INS,10/19/2021 12:00:00 AM,Y,WSZ1,,PRI2,,Stop Surface is 9m asphalt shoulder,9b965b5c-1bae-451f-af86-685f455d2c0c,11/22/2021 12:00:00 AM,6/1/2022 12:00:00 AM,,-7066355.1869,5561387.3591
26,BS1005,6015,Y,Akerley Blvd Before Civic 30 (6015),A,CPD1314,700004305,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,HRM2,R3,PRI2,,,ea552f1b-d42c-4f06-85c8-4fd3ea5c63d5,2/22/2017 12:00:00 AM,9/4/2019 12:00:00 AM,,-7080610.1905,5575823.4783
27,BS1693,6664,Y,Forest Hills Pky After Cole Harbour Rd (6664),A,CPD1949,700004631,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,10/6/2025 1:08:34 PM,INS,,Y,WSZ1,,PRI2,,,237725e9-1740-4b5f-aa69-7cdb32f2c646,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7067744.1157,5570236.679
28,BS953,8160,Y,Raymoor Dr After Strath Ln (8160),I,CPD1181,200002420,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ1,,PRI2,,STAND ALONE,e8ce3def-b198-4238-b1d4-11efab648407,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7072780.159,5572404.0019
29,BS2062,6421,Y,Circassion Dr Before Poplar Dr (6421),A,CPD1999,200001563,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ1,,PRI2,,,869c6ad3-1769-4498-a488-382e0701a567,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7068732.6914,5571128.9999
